,,,,0= No,,,1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,User Input Field,,,,,Autopopulate,,,,,,,,,,,,Extraction Efficiency,,,,,,,Spent % (as is),,,Output % (anhydrous),,,,Decarb % (as is),,,Input % (anhydrous),,
UniqueID,Extraction Date (yyyy/mm/dd),Strain,CBD=1,Lot Number,Extraction Run,Time (mins),Col1/2,PSI,Temp (°C),Program Used 0/1,Mass CO2 Used (lbs),CO2 Used (kg),kg CO2/min,Marble Diffuser (1/0),Notes,massCO2/g THC,massCO2/g CBD,massCO2/g CBN,THC,CBD,CBN,Input Mass (g),Output Spent Mass (g),% Mass Extracted,Spent Moisture,THC,CBD,CBN,THC,CBD,CBN,Decarb Moisture,THC,CBD,CBN,THC,CBD,CBN
80,07/06/2018,AD,,691,3,100,1,5000,65,1,55.5,25.2,0.252,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
81,07/06/2018,AD,,691,4,100,2,5000,65,1,63,28.6,0.286,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
82,11/06/2018,TI,,687,1,90,1,5000,65,1,48.5,22,0.245,1,,,,,-,-,-,1526.5,1222,19.90%,,,,,,,,,,,,,,
83,11/06/2018,TI,,687,2,90,1,5000,65,1,40.5,18.4,0.205,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
84,18/06/2018,N2,,624,1,90,1,5000,65,1,62.5,28.4,0.316,1,,,,,-,-,-,1471,,-,,,,,,,,,,,,,,
85,18/06/2018,N2,,624,2,120,2,5000,65,1,53.5,24.3,0.203,1,,,,,-,-,-,1391,,-,,,,,,,,,,,,,,
86,19/06/2018,N2,,624,5,90,1,5000,65,1,43.5,19.8,0.22,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
87,19/06/2018,N2,,624,6,90,2,5000,65,1,61.5,28,0.311,1,,,,,-,-,-,,,-,,,,,,,,,,,,,,
88,20/06/2018,N2,,624,7,90,1,5000,65,1,41.5,18.9,0.21,1,,,,,-,-,-,501,,-,,,,,,,,,,,,,,
89,20/06/2018,N2,,624,8,90,1,5000,65,1,55,25,0.278,,,,,,-,-,-,1456.5,,-,,,,,,,,,,,,,,
90,26/06/2018,SB,,542,3,90,1,5000,65,1,61,27.7,0.308,,,,,,-,-,-,,,-,,,,,,,,,,,,,,
91,28/06/2018,NL,,468,1,90,1,5000,65,1,59,26.8,0.298,,,,,,-,-,-,,,-,,,,,,,,,,,,,,
92,28/06/2018,NL,,468,2,90,2,5000,65,1,62,28.2,0.313,,,,,,-,-,-,,,-,,,,,,,,,,,,,,
93,05/07/2018,S ,,544,3,90,1,5000,65,1,67,30.5,0.338,,,,,,-,-,-,,,-,,,,,,,,,,,,,,
94,06/07/2018,SB,,544,6,130,1,5000,65,1,54.5,24.8,0.191,,1 Co2 PUMP,,,,-,-,-,,,-,waited till column 1 reached 5000 then began program,,,,,,,waited till column 1 reached 5000 then began program,,,,,,
94,06/07/2018,SB,,544,7,130,2,5000,65,1,49.5,22.5,0.173,,,,,,-,-,-,,,-,,,,,,,,,,,,,,
